MonitoringLocationIdentifier
29314-ORDEQ
30683-ORDEQ
25462-ORDEQ
16290-ORDEQ
WNF-162
ROG004
33811-ORDEQ
13102-ORDEQ
CAN_4A
22965-ORDEQ
STI-4766
22531-ORDEQ
15709-ORDEQ
36400-ORDEQ
FWNF-120
RRSNF-001
441953121024001
41583-ORDEQ
PDX_BES-0345
38707-ORDEQ
12522-ORDEQ
MNF-105
10333-ORDEQ
24043-ORDEQ
25271-ORDEQ
15835-ORDEQ
12311-ORDEQ
21832-ORDEQ
16560-ORDEQ
34059-ORDEQ
16161-ORDEQ
MNF-137
27793-ORDEQ
33083-ORDEQ
41594-ORDEQ
SNF-086
33878-ORDEQ
29741-ORDEQ
40823-ORDEQ
32422-ORDEQ
12
37384-ORDEQ
25778-ORDEQ
34517-ORDEQ
29998-ORDEQ
COW_34
13213-ORDEQ
38204-ORDEQ
26119-ORDEQ
5166
28599-ORDEQ
24375-ORDEQ
23916-ORDEQ
13908-ORDEQ
COG_Fairv@Burn
422719121571400
UmatNF-086
14020-ORDEQ
MAN001
192
12245-ORDEQ
39167-ORDEQ
24664-ORDEQ
10443-ORDEQ
38323-ORDEQ
15611-ORDEQ
16539-ORDEQ
14481-ORDEQ
35534-ORDEQ
11325-ORDEQ
23096-ORDEQ
1084
24369-ORDEQ
40490-ORDEQ
31512-ORDEQ
13624-ORDEQ
13479-ORDEQ
11565-ORDEQ
36751-ORDEQ
45.63.116.48
23125-ORDEQ
13005-ORDEQ
37411-ORDEQ
30354-ORDEQ
16106-ORDEQ
199248-BLM
37093-ORDEQ
14698-ORDEQ
15589-ORDEQ
26324-ORDEQ
37983-ORDEQ
23587-ORDEQ
29611-ORDEQ
1046
25508-ORDEQ
PDX_BES-6
41662-ORDEQ
SFEC-P4-04
11755-ORDEQ
UmpNF-028
11826-ORDEQ
UmatNF-111
12961-ORDEQ
ODFW_MR_OR_15
25436-ORDEQ
23523-ORDEQ
11431-ORDEQ
34241-ORDEQ
13235-ORDEQ
40431-ORDEQ
11522-ORDEQ
11018-ORDEQ
28557-ORDEQ
UmatNF-070
422305121553803
29854-ORDEQ
178126-BLM
COG_JCI1
26888-ORDEQ
26615-ORDEQ
38084-ORDEQ
32828-ORDEQ
34263-ORDEQ
MNF-103
38497-ORDEQ
11270-ORDEQ
34033-ORDEQ
25200-ORDEQ
27776-ORDEQ
28328-ORDEQ
24609-ORDEQ
25954-ORDEQ
UmpNF-075
11392-ORDEQ
15782-ORDEQ
10963-ORDEQ
28325-ORDEQ
23959-ORDEQ
33982-ORDEQ
28344-ORDEQ
40580-ORDEQ
15943-ORDEQ
40541-ORDEQ
24794-ORDEQ
421410121492000
14813-ORDEQ
