MonitoringLocationId
11156-ORDEQ
12835-ORDEQ
173335-BLM
10491-ORDEQ
13503-ORDEQ
11973-ORDEQ
13568-ORDEQ
10478-ORDEQ
173366-BLM
11972-ORDEQ
173334-BLM
10479-ORDEQ
12848-ORDEQ
11974-ORDEQ
11188-ORDEQ
13540-ORDEQ
10482-ORDEQ
12850-ORDEQ
12005-ORDEQ
11182-ORDEQ
12851-ORDEQ
11201-ORDEQ
173369-BLM
13569-ORDEQ
10492-ORDEQ
12006-ORDEQ
13570-ORDEQ
32060-ORDEQ
11202-ORDEQ
12855-ORDEQ
10506-ORDEQ
12865-ORDEQ
13575-ORDEQ
12012-ORDEQ
11233-ORDEQ
12899-ORDEQ
10508-ORDEQ
12027-ORDEQ
11241-ORDEQ
13577-ORDEQ
12032-ORDEQ
10511-ORDEQ
12913-ORDEQ
11246-ORDEQ
13579-ORDEQ
11261-ORDEQ
12045-ORDEQ
10517-ORDEQ
13584-ORDEQ
10521-ORDEQ
12046-ORDEQ
11263-ORDEQ
12047-ORDEQ
11304-ORDEQ
13588-ORDEQ
10523-ORDEQ
13593-ORDEQ
10525-ORDEQ
12052-ORDEQ
12945-ORDEQ
11315-ORDEQ
10535-ORDEQ
13595-ORDEQ
11316-ORDEQ
12053-ORDEQ
13597-ORDEQ
10536-ORDEQ
11321-ORDEQ
12947-ORDEQ
12054-ORDEQ
11323-ORDEQ
13598-ORDEQ
10537-ORDEQ
12055-ORDEQ
13640-ORDEQ
12948-ORDEQ
12056-ORDEQ
10585-ORDEQ
13695-ORDEQ
11326-ORDEQ
12057-ORDEQ
10591-ORDEQ
11329-ORDEQ
12951-ORDEQ
12058-ORDEQ
13807-ORDEQ
10600-ORDEQ
11372-ORDEQ
12059-ORDEQ
10602-ORDEQ
13945-ORDEQ
11373-ORDEQ
14008-ORDEQ
12954-ORDEQ
10608-ORDEQ
12060-ORDEQ
11386-ORDEQ
11412-ORDEQ
12061-ORDEQ
10636-ORDEQ
14018-ORDEQ
12095-ORDEQ
11419-ORDEQ
143931-BLM
